1164718223616438272|534334635|2019-08-23 08:57:18|indonesia|kalimantan+timur|berau|18_25|Bu haris dosen pertambangan killerku aja pemindahan ibukota di panajam. Ngerik wkwk
1164583517730197504|102595306|2019-08-23 00:02:02|indonesia|aceh|aceh+besar|26_35|Selamat Kalimantan Timur telah terpilih sebagai lokasi Ibukota Indonesia yang baru.
1164744233246498816|101395383|2019-08-23 10:40:39|indonesia|kalimantan+timur|penajam+paser+utara|26_35|Anak ibukota?Nonono anak emmah nu #ibukotabaru #samboja @ Semboja, Kalimantan Timur, Indonesia https://t.co/DISJidOHsK
1164706485227573248|1133304559839793152|2019-08-23 08:10:39|indonesia|jawa+barat|kota+bekasi|above_35|@tvOneNews @msaid_didu Logikanya setiap waktu siap2 ibukota akn muter berpindah-pindah ....haha....bahlul
1164751994227056640|67976783|2019-08-23 11:11:30|indonesia|dki+jakarta|jakarta+selatan|26_35|22-08-2019: demi ambisi Kaltim ibukota negara 🇮🇩, orang2 satu kolam sesumbar bilang Kalimantan gak akan kena gempa.… https://t.co/UPm9fjNFNr
1164804233645789184|240734287|2019-08-23 14:39:04|indonesia|jawa+tengah|semarang|26_35|Kalo Papua dan mungkin Indonesia Timur pada minta referendum, merdeka ya tentu saja TDK jadi pindah ibukota negara… https://t.co/XPBeGIiuUg
1164815212869902336|58765066|2019-08-23 15:22:42|indonesia|dki+jakarta|jakarta+utara|18_25|Pesan pak Amien kepada @jokowi pada acara Milad PAN ke 21, tunda dulu diskusi soal pindah ibukota, masalah Papua me… https://t.co/oqUxDceRrZ
1164527927163146242|969187572705472512|2019-08-22 20:21:08|indonesia|jawa+tengah|banjarnegara|18_25|Mau ikut pindah juga?Ibu kota mau pindah ke kalimantanKamu mau pindah lagi ke hati mantan?
1164422213153374208|378995097|2019-08-22 13:21:04|indonesia|kalimantan+tengah|seruyan|None|TOK! Ibu Kota Negara Akan Pindah ke Kalimantan Timur https://t.co/WqRHaE805k
1164463867960762368|191688467|2019-08-22 16:06:35|indonesia|kalimantan+timur|penajam+paser+utara|18_25|hmmmmm 😶TOK! Ibu Kota Negara Akan Pindah ke Kalimantan Timur https://t.co/UqvJBI18VO #LINETODAY
1164425024368828416|1084856108718542849|2019-08-22 13:32:14|indonesia|daerah+istimewa+yogyakarta|None|None|Yey ibu kota pindah ke Guntung 🎉
1164430021789798401|602639705|2019-08-22 13:52:05|indonesia|jawa+tengah|kudus|None|@Chococone96 ((((Mumpung ibu kota belum pindah)))
1164431877337317376|898898221413433348|2019-08-22 13:59:28|indonesia|papua|kab.+mappi|above_35|Rocky Gerung Khawatir Ibu Kota Pindah ke Kalimantan: Kurang Oksigen Bahaya Buat Kecerdasan Presiden… https://t.co/c12B1DF0sf
1164381380676952064|248000640|2019-08-22 10:38:48|indonesia|daerah+istimewa+yogyakarta|yogyakarta|below_18|Hutan amazon kebakaran, hutan kalimantan kebakaran juga. Di tambah isu pemindahan ibukota ke kalimantan membuat inv… https://t.co/4DancEoAMF
1164476371751452672|568729600|2019-08-22 16:56:16|indonesia|daerah+istimewa+yogyakarta|None|26_35|Ibu kota mau dipindah ke kalimantan timur (?)Apakah bentar lagi saya akan menjadi warga ibu kota??!
1164464883926093825|374516720|2019-08-22 16:10:37|indonesia|jawa+timur|malang|26_35|Ibukota mau pindah ke kalimantan, orang kalimantan santai-santai aja tapi kenapa orang-orang di jakarta yang ribut sendiri.
